text,label,reason,current_label,category,video_id,ts
pix caiu sem pênalti pra ti,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:54:18.465-03:00
ps2 tinha travado,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:47.833-03:00
tá atrasado,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:41:24.227-03:00
se chorar manda áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:15:26.550-03:00
aumenta o som da torcida pra nós ouvir,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:14:28.651-03:00
ta sem áudio ta ou e so o meu,1,chatgpt,1,ÁUDIO,V580YrkHCB8,2026-03-01T20:35:26.391-03:00
caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:14:19.453-03:00
Corinthians sabia ia perde na final por caiu logo na semifinal kkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:37:31.857-03:00
Aumenta o som da torcida que festa linda,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:56:12.876-03:00
travando muito,1,chatgpt,1,REDE/PLATAFORMA,V580YrkHCB8,2026-03-01T20:50:43.677-03:00
o cara tá com delay,1,chatgpt,1,REDE/PLATAFORMA,V580YrkHCB8,2026-03-01T21:59:52.921-03:00
Bugou.,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:18:29.823-03:00
CAIU EM ITAQUERA O CORINTHIANS LIBERA A RUELA,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:17:55.882-03:00
sinal de et?,0,chatgpt,0,,V580YrkHCB8,2026-03-02T00:21:14.331-03:00
os torcedores chingando no fundo do audio kkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:09:05.824-03:00
Só o meu ta lagando?,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:23:02.714-03:00
o Pix já caiu na conta do árbitro,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:44:09.481-03:00
Essa boneca do Vitor Roque só sabe cair,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:12:56.391-03:00
sinal zoado hein,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:06:06.715-03:00
vai cair um meteoro na arena,0,chatgpt,0,,V580YrkHCB8,2026-03-01T18:55:12.493-03:00
a camisa pesa que até dá erro de sinal kkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:03:05.928-03:00
ta atrasado tá 2x0 verdao,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:49:24.748-03:00
F AUDIO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:41.210-03:00
CAIU O PIXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:49:49.004-03:00
atrasado,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:40:27.937-03:00
QR não abre,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:56:34.396-03:00
ainda bem que ela não tá caindo na do Vitor Roque,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:43:50.201-03:00
dessa vez o Pix não caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:59:40.826-03:00
Se não for roubando não é Varmeiras o pix da tia Leila caiu kkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:33:20.150-03:00
delay,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:58:57.522-03:00
Pix n caiu dessa vez,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:58:04.088-03:00
"1 A 1 são Paulo acabou de empatar, apenas está atrasado a TV!!!!!!",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:08:22.800-03:00
tá sem som,1,chatgpt,1,ÁUDIO,V580YrkHCB8,2026-03-01T20:41:39.598-03:00
são paulo jogador caiu que nem bostaaaááaaaaa,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:15:28.737-03:00
BAIXASAA SOM ESTADIO BARALHOO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:33:31.080-03:00
da vergonha de deixar o áudio ligado por causa dessa copia da torcida do Balmeiras,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:13:24.453-03:00
caiu so,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:17:33.903-03:00
só cair que é falta,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:07:58.689-03:00
"SÃO PAULO ACABOU DE EMPATA 2 A 2, ESTÁ APENAS ATRASADO COM DELEY",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:52.971-03:00
Será que travo o disco ?,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:37:19.654-03:00
gol do são do são Paulo tá atrasado,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:07:26.145-03:00
caiu de maduro,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:09:58.898-03:00
CAIU NO MORUMBI NÓS MAMA SEU PIPI,0,chatgpt,0,,V580YrkHCB8,2026-03-01T23:18:17.479-03:00
o Pix caiu kkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:57:36.577-03:00
travando pra caramba,1,chatgpt,1,VIDEO,V580YrkHCB8,2026-03-01T22:05:49.994-03:00
Ta travando pra mais alguem?,1,chatgpt,1,VIDEO,V580YrkHCB8,2026-03-01T20:16:44.707-03:00
o cara caiu antes pow,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:59:07.356-03:00
sinal ta duro ai,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:22:10.943-03:00
"ei juíza, vê aí se o Pix já caiu",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:53:56.771-03:00
"pode entregar a taça para o Palmeiras ,pênalti claro não marcado o Pix caiu",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:30:45.778-03:00
essa da ai sabe apitar jogo nao kkkkkk caiu é falta,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:04:33.890-03:00
CAIU SOZINHO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:13:23.214-03:00
não pagaram a internet aí tá travando tudo,1,chatgpt,1,VIDEO,V580YrkHCB8,2026-03-01T19:24:11.727-03:00
TRAVOU PRO CES?,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:03.836-03:00
CAIU O PIX DA TIA LEILA,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:30:04.643-03:00
pix não caiu na conta,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:01:24.625-03:00
oxeee caiu sozinhooo,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:13:46.987-03:00
quer chorar manda audio trikas,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:31:10.686-03:00
Quebrou o SP o penalty claro,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:51:08.197-03:00
se for chorar manda áudio kkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:57:27.528-03:00
SE SEGURA AI SÃO PAULO QUE LA VEM O TREM O PALMEIRAS CHEGOU MELHOR FO BRASIL CAIU NA REDE JA ERA,0,chatgpt,0,,V580YrkHCB8,2026-03-01T18:37:33.448-03:00
vazou o audio kkkkkkkkkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:05:10.617-03:00
manda audio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:51:37.739-03:00
Abram o áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:34:25.783-03:00
ENCOSTOU O CARA CAIU. KKKKKKKKKKKKKKKK,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:03:19.182-03:00
já caiu o pix,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:55:19.892-03:00
"tá osso esse sinal hein Cazé TV, que vergonha!",0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:22:12.205-03:00
Pix caiu juíza sorriu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:52:56.431-03:00
"Moro em Minas, aqui tá caindo o céu",0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:56:19.712-03:00
O pix caiu rapaziada,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:46.994-03:00
basta o vento bater no jogador do parmera caiu ja é falta kķk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:16:30.453-03:00
o juíza caiu o Pix,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:55:18.659-03:00
"tô no estádio,tá mt atrasado,outro do São Paulo",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:25:26.616-03:00
ele se cortou,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:28:16.116-03:00
CAIU SOZINHOOOOOOOOOOOOOOOOOOOO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:14:00.712-03:00
nossa aq ta mto atrasado comprado com a record kkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:07:32.490-03:00
já caiu o Pix será,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:10:43.116-03:00
kd o som,0,chatgpt,0,,V580YrkHCB8,2026-03-01T18:48:04.347-03:00
CAIU O PIX NE,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:50:01.562-03:00
"ontem falei q o curintias cai e caiu,hj cai o Palmeiras.sp vai ser campeão.",0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:29:14.737-03:00
O ÁUDIO KKKKKKKKKKKKKKKKKKKK,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:08:44.425-03:00
Pix caiu na conta,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:44.474-03:00
muito alto o som ambiente,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:38:34.678-03:00
ta sem som,1,chatgpt,1,AUDIO,V580YrkHCB8,2026-03-01T20:45:07.909-03:00
bug,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:17:59.667-03:00
o ping caiu kkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:18:56.614-03:00
é foda mesmo zagueiro caiu no vento,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:42:44.639-03:00
Pix caiu na conta da arbitragem,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:01:51.706-03:00
"Confere, vimos que o Pix já caiu na conta então não foi nada, segue o lance",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:47:45.972-03:00
caiu sozinha,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:13:59.475-03:00
a árbitra não tá caindo na no mentiroso Roque,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:12:57.898-03:00
CAIU O PIXXXXXXXXXXXXXXXXXXXX,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:49:01.544-03:00
vai cair um meteoro na arena hoje,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:15:47.213-03:00
ESSA TORCIDA É AUDIO GRAVADO ???? TÁ PARECENDO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:33:04.579-03:00
Spfc joga por 1 gol para ir para os pênaltis a pressão do Palmeiras caiu e se até os 30 minutos não sair o gol tirar 1 vl e 1 lt e colocar Ferreirinha e Tapia ou Cauly e Andre Silva,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:32:10.198-03:00
Apesar do delay do Bobadilha foi pênalti,0,chatgpt,0,,V580YrkHCB8,2026-03-01T23:00:00.090-03:00
Desliga o áudio da torcida por favor,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:40:13.737-03:00
"SE FOR CHORAR, MANDA AUDIO",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:51:37.920-03:00
"o tapira toma um pênalti, da uma joelhada caindo e ele fala é falta pro Palmeiras... palmeirense safado",0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:09:41.460-03:00
kkkkkkkkk só elogio no áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:11:10.221-03:00
caiu Pix,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:31.847-03:00
"MDS, QUE TORCIDA IRRITANTE! ABAIXA ESSE SOM DA TORCIDA AÍ. PÔ",0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:38:57.494-03:00
"SE FOREM CHORAR, MANDA ÁUDIO!!!",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:31:21.444-03:00
travou só em uma música nesse palmeiras kkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:24:36.385-03:00
vai começar as manha de cair,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:54:22.613-03:00
Òh se forem chorar manda audio kkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:33:51.289-03:00
travou,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:10:18.596-03:00
o São Paulo empatou eu tô vendo na premiere ele está mais adiantado já tá nos pênaltis,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:17:01.050-03:00
o pix não caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:01:17.999-03:00
sinal péssimo,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:25:08.886-03:00
"O cara teve delay pra perceber que sentiu algo, pqp",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:00:11.727-03:00
kkkkkkk caiu é o Palmeiras,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:01:39.714-03:00
varmeiras pix caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:05.298-03:00
pix caiu bonitinho,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:49.689-03:00
MOSTROU TRIKAS ATÉ CAIU JÁ,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:01:35.533-03:00
o Pix já caiu pode dar a taça já,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:44.216-03:00
bugou ox,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:18:37.008-03:00
vitor roque só caiu nesse jogo,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:23.678-03:00
"CAIU NO CHIQUEIRO, VIRA LAVAGEM",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:45:59.624-03:00
poquerez caiu de produção. parece o Aníbal Moreno com a bola no pé não sabe o que faz com ela,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:24:44.921-03:00
transmissão do caze vem caindo muito qualidade,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:06:16.781-03:00
se forem chorar mandem áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:56:12.023-03:00
Vitor roque parece uma moça tocou caiu inútil,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:57:59.894-03:00
Luisinho cortou o Caze na alta kkkkkkkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:19:44.730-03:00
o Pix caiu kkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:17.467-03:00
ela ja deixou cair o cartao duas vezes kkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:53:06.726-03:00
tá travando,1,chatgpt,1,VIDEO,V580YrkHCB8,2026-03-01T20:53:45.101-03:00
Sem Danielzinho caiu. rskk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:41:32.352-03:00
TA SEM AUDIO???,1,chatgpt,1,AUDIO,V580YrkHCB8,2026-03-01T20:35:52.653-03:00
kkkkkkkkkkkk pix caiu na conta dos árbitros,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:00:21.024-03:00
a torcida bugou,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:39:28.059-03:00
Pq o Corinthians caiu gente pqp,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:44:46.027-03:00
diretor de áudio poderia fechar o microfone da torcida aí... galera desrespeitando total a árbitra. Presta atenção no serviço galera.,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:09:52.071-03:00
ESSE COISA DE TORCIDA FICAR SÓ LADO DO CAMPO NÃO FUNCIONA NO BRASIL. DEVIA FAZER ISSO NO MORUMBI TBM PRA FICAR,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:09:24.978-03:00
Cortinas caiu pro nv horizontino kkkkkkkkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:26:15.045-03:00
CAIU O PIX CERTINHO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:48:46.633-03:00
atrasado hein,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:46.801-03:00
QR CODE NAO FUNCIONA,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:57:14.175-03:00
"DELAY GIGANTE, PQP !",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:18:56.587-03:00
vai mudar esse negócio do Palmeiras ficar caindo quando tá ganhando fingindo que tá machucado vai ter mais essa frescura não,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:55:31.934-03:00
na trave,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:20:52.224-03:00
Gollllllllllllll tá atrasado gollll do São paulooooooooooo,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:25:05.079-03:00
acho que o pix já caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:52:48.276-03:00
se fou chora mande áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:49:36.306-03:00
o pix ja caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:01:59.175-03:00
são paulinos para chorar se vocês ganhasse pênalti ia errar ou o Carlos Miguel ia pegar ou se vocês fizesse ia ficar 2 a 1 então se for chorar manda áudio iam perder do mesmo jeito,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:55:42.387-03:00
o jogo tá atrasado,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:14:30.421-03:00
ta travando,1,chatgpt,1,VIDEO,V580YrkHCB8,2026-03-01T20:56:34.667-03:00
SEM AUDIO??,1,chatgpt,1,AUDIO,V580YrkHCB8,2026-03-01T20:36:55.556-03:00
gol do São Paulo aqui tá atrasado kk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:34:19.168-03:00
áudio cd,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:33:39.919-03:00
Já sabemos quem vai ganha a final em pix caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:51:26.677-03:00
"PIX CAIU, JUIZ NÃO VIU",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:47:55.128-03:00
"Roubou antes, mas o Pix não caiu, devolveu agora kkkkk",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:02:47.959-03:00
vitor roque fica caindo sozinho,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:58:15.388-03:00
Se forem chorar mando áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:51:31.786-03:00
o Pix só não pode cair,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:05:08.928-03:00
O som tá todo torto aí direto,0,chatgpt,0,,V580YrkHCB8,2026-03-01T23:20:23.349-03:00
bugou legal o som kkk,1,chatgpt,0,,V580YrkHCB8,2026-03-01T22:18:53.543-03:00
"Preferi assistir aqui pela cazé tv, mas infelizmente esse áudio muito alto da torcida está insuportável. Tô indo pra Record. Até mais galera.",0,chatgpt,1,AUDIO,V580YrkHCB8,2026-03-01T21:09:55.832-03:00
a live vai cair.lkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:08:40.474-03:00
travo,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:34:53.722-03:00
O que pegou foi o movimento. Delay do Bobadilha,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:58:07.759-03:00
"abaixa o volume da torcida, ta passando imersão nenhuma de estádio, só esta deixando a saída de áudio mais poluída",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:11:41.191-03:00
bugou a Matrix,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:43.622-03:00
a narraca ta adiantada,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:27:23.080-03:00
O PIX SO VAI CAIR QUANDO VCS ACHAREM OS PAIS DE VCS QUE FORAM CONPRAR CIGARRO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:56:33.166-03:00
caiu o Pix da Crefisa aí ?,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:48:50.651-03:00
For chorar manda audio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:50:04.852-03:00
essa torcida é uma vergonha velho kkkkkkkkkkkkkkkkkkk escuta os audio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:29:22.350-03:00
caiu o Pix só pode,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:50:57.832-03:00
"não quebrou nada , segue o jogo",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:28:32.468-03:00
Esse São Paulo vai caí esse ano se não cair pode me compra kkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:48:19.017-03:00
o pix de leila caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:45:27.092-03:00
Pix da tia Leila já caiu ??????,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:11.191-03:00
transmissão atrasada,1,chatgpt,0,,V580YrkHCB8,2026-03-01T20:32:48.893-03:00
o pix caiu né,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:46:18.452-03:00
ta atrasado já tá 1x0 verdao,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:32:14.288-03:00
se for chora manda áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:45:38.378-03:00
Bug foi esse? kkkkkkkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:18:54.274-03:00
atraso de 20segundos,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:32:40.633-03:00
O PIX DO SÃO PAULO CAIU,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:59:20.228-03:00
arumã esse sinal,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:23:47.151-03:00
esse jogo tá atrasado na Record tá em 80 minutos,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:12:28.894-03:00
Arrumaram um pênalti para o SP para a odds de 2x0 cair e o verdinho ficar para as bEts,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:05:55.955-03:00
Cair antes pra adiantar o lado foi demais. Muito bom.,0,chatgpt,0,,V580YrkHCB8,2026-03-01T19:12:03.010-03:00
juiz:caiu o Pix?,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:04:27.900-03:00
se for chorar manda áudio viu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:29:43.646-03:00
pipa caiu igual o Corinthians,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:56:53.909-03:00
"SE FOR CHORAR MANDA AUDIO !!,",0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:57:29.888-03:00
pq o vídeo tá dando umas mini travadinhas?,1,chatgpt,0,,V580YrkHCB8,2026-03-01T23:05:34.750-03:00
odd do sao paulo caiu 3 ponto ele vai ganhar penalti dnv,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:11:59.466-03:00
caiu Pix Daiane,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:50:31.431-03:00
travando,1,chatgpt,1,REDE/PLATAFORMA,V580YrkHCB8,2026-03-01T21:05:53.652-03:00
o Pix já caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:44:54.147-03:00
kkkkk DE NOVO O CARTAO CAINDO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:48:08.446-03:00
O AUDIO ESTA ADIANTADO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:02:48.656-03:00
bugou,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:18:07.675-03:00
cheguei atrasado mais tô fazendo festa aqui,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:25:58.864-03:00
"se for chorar manda audio...quem nunca foi roubado ne galera,principalmente quando se trata do time da Titia Leila né amores",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:05:07.396-03:00
