text,label
ué o áudio distorceu,1
socorro 🏆,0
áudio fora de sincronia 😤,1
uau pessoal,0
mano o áudio tá com eco,1
nao carrega de jeito nenhum,1
áudio travando ainda,1
que comentarista de novo,0
nota 10 aqui também,0
e aí pessoal??,0
dá erro aqui,1
eco no som mano,1
áudio bugou aqui tb,1
vai Palmeiras 😭,0
narrador caiu ainda,1
socorro narrador caiu,1
travou de vez horrível,1
eco enorme,1
quanto tá o placar? horrível,0
comentarista bom,0
esse jogador nao presta,0
vídeo travando??,1
kkkkk,0
🙌 kkk,0
caiu pra mim,1
perdeu o som pqp,1
ficou sem som kkk,1
a imagem congelou,1
travando feio...,1
fica parando horrível,1
juiz horrível,0
vai vaaaai,0
sumiu o áudio,1
jogaço pqp,0
todo mundo joga mais,0
o áudio morreu,1
❤️❤️ kk,0
o som tá cortando??,1
pênalti isso,0
já voltou,0
mano gente,0
o áudio some vez ou outra gente,1
aqui tá perfeito que isso,0
som ruim demais,1
travou de vez,1
sensacional tbm,0
a imagem parou ainda,1
👏👏👏,0
todo mundo tá em 144p,1
jogo fraco aqui tb,0
pra mim tá perfeito cara,0
gente só fica carregando,1
cara live foi abaixo,1
buffering demais aqui também,1
mano o carregamento não acaba,1
hauahauahau...,0
gente buffering demais,1
muito pixelado tbm,1
vai Internacional??,0
kkk mano,0
vai Athletico,0
o áudio some vez ou outra ainda,1
demais...,0
mano assistindo aqui,0
socorro tá tela preta,1
fica rodando sempre isso,1
olá que isso,0
o que foi?,0
mano hahahaha,0
cara Corinthians!,0
tá melhor agora 😤,0
todo mundo audio bugou,1
a transmissão voltou kkk,0
comprimido demais gente,1
nota 10,0
cara árbitro favorecendo,0
qualidade caiu horrível,1
Tricolor!,0
ué transmissão caiu,1
não tá funcionando sempre isso,1
que nada a ver!!!,0
vai Corinthians kk,0
áudio travando áudio travando,1
para toda hora pessoal,1
transmissão caiu,1
o som tá uns 2 segundos atrás??,1
que drrible pessoal,0
aqui tá ótimo??,0
socorro muito pixelado,1
e aí? absurdo,0
todo mundo fora de sinc,1
som estourado,1
buffering infinito 😤,1
pixelando,1
kkkkkkkk pessoal,0
o que houve? aqui tb,0
socorro FLA FLA FLA,0
só tela preta,1
vai Brasil que isso,0
a narração sumiu pra mim também,1
narração boa,0
só eu 10?,0
a transmissão voltou que isso,0
socorro o som tá estourado,1
todo mundo bora Mengão,0
meu Deus pessoal,0
vai Grêmio pqp,0
jogo bom kkk,0
ué tá congelado,1
só eu olá?,0
tô sem som,1
eco no som,1
ué buffering infinito,1
o som sumiu aqui tb,1
aqui tá liso,0
quantos gols fez? cara,0
black screen black screen,1
jogaço,0
resolveu o som cara,0
meu Deus pqp,0
todo mundo não tá funcionando,1
foi o áudio aqui também,1
aqui tá suave,0
craque demais aqui também,0
a transmissão encerrou sozinha,1
que absurdo,0
imagem travada??,1
áudio foi pessoal,1
tá sem som,1
mano tá sem narrador,1
quem tá ganhando? absurdo,0
áudio caiu,1
som horrível??,1
perdeu o som,1
😍 que isso,0
só eu joga mais?,0
mano kkk,0
gente recomeçou do zero,1
só eu não tá travando aqui?,0
tela preta kkk,1
mano top,0
cadê o áudio aqui também,1
aqui tá ótimo horrível,0
imagem travada pessoal,1
vídeo congelou!!!,1
rsrsrsrs,0
10/10 cara,0
não foi pênalti!!!,0
áudio duplicado tbm,1
áudio interrompendo pra mim também,1
áudio gaguejando,1
KKKKKKK,0
o áudio tá fora de sincronia,1
qualidade horrível,1
só eu Porco!?,0
imagem borrada,1
e então? mano,0
cara maneiro,0
silencio total,1
cadê o som de novo,1
quantos gols fez? ainda,0
socorro KKKKKKK,0
áudio na frente do vídeo,1
todo mundo sla,0
socorro a transmissão caiu,1
não foi pênalti??,0
perdeu o narrador aqui tb,1
todo mundo que nada a ver,0
resolveu pra mim também,0
travando demais,1
todo mundo tela preta,1
jogo fraco kkk,0
travando pra caramba kk,1
que time que time,0
goool 😤,0
fica congelando,1
roubaram demais,0
alguém mais Corinthians!?,0
socorro ficou com erro,1
cara travando feio,1
ficou em baixa resolução!!!,1
cara jogo ruim,0
vai vai vai 😭,0
que loucura!!!,0
pra mim tá perfeito,0
áudio caiu...,1
ta pixelado,1
a live recomeçou,1
boa noite pessoal kk,0
craque demais,0
jogador ruim,0
cheguei,0
não tô ouvindo nada horrível,1
vídeo pixelado de novo,1
o áudio sumiu kk,1
áudio bugou,1
que gol! que isso,0
só vejo tela preta,1
desincronizado pra mim também,1
ficou em baixa resolução,1
ué kk,0
sei lá kkk,0
som duplicado kkk,1
🎉🎉 kkk,0
kkk mano...,0
ué tá melhor agora,0
ué só tela preta,1
áudio foi pra mim também,1
ficou sem áudio que isso,1
golaço 😤,0
voltou a live sempre isso,0
depende,0
não tá funcionando,1
socorro cara,0
cara a live não abre,1
😂😂😂 aqui tb,0
ué agora voltou o som,0
travando pra caramba tbm,1
ué cheguei,0
narração boa absurdo,0
10!!!,0
quem tá ganhando? pra mim também,0
kk,0
não carrega,1
aqui chegando 😤,0
uau cara,0
áudio distorcido de novo,1
tá congelando que isso,1
cara áudio voltou,0
ué não ouço nada,1
o som tá atrasado,1
dahora!,0
⚽,0
qualidade baixou,1
impossível...,0
dahora sempre isso,0
a live voltou kkk,0
🙌 gente,0
ficou sem narração,1
já resolveu horrível,0
áudio cortando,1
socorro o áudio distorceu,1
que partida ainda,0
só eu não foi pênalti?,0
time bom 😤,0
o meu tá normal,0
todo mundo som distorcido,1
o áudio tá atrasado,1
time ruim??,0
o som fica sumindo!!!,1
KKKKKKK aqui também,0
foi do ar,1
que defesa ainda,0
🙌🙌??,0
❤️ sempre isso,0
que chute,0
áudio fora de sincronia,1
todo mundo gol!,0
a transmissão ficou tela preta tbm,1
Fla campeão tbm,0
tá sem narração 😭,1
vídeo pixelado pra mim também,1
travando aqui absurdo,1
o som tá estourado pessoal,1
imagem pixelada pra mim também,1
não abre a live 😭,1
o vídeo travou,1
buffering infinito tbm,1
vai Corinthians vai Corinthians,0
reiniciou do zero cara,1
BRASIL,0
👍👍,0
o narrador foi,1
muito buffering gente,1
kkkkkkkkkkk aqui tb,0
sei lá,0
😍😍,0
muito buffering,1
o áudio sumiu,1
isso foi fora né?!!!,0
o áudio tá cortando pessoal,1
aqui tá funcionando horrível,0
boca e voz não tão sincronizados aqui tb,1
interessante interessante,0
cara pra mim também,0
loading eterno cara,1
kkk,0
perdeu o áudio,1
não toca pra mim também,1
boa! ainda,0
bora bora bora kkk,0
socorro a live não abre,1
qual é o canal?,0
boa tarde galera,0
áudio duplicado,1
era falta,0
que time aqui tb,0
gente tá em 144p,1
pixelando sempre isso,1
era falta 😭,0
muito borrado,1
to assistindo absurdo,0
quantos gols fez? aqui também,0
só vejo tela preta aqui também,1
todo mundo e então?,0
ficou sem áudio tbm,1
pixelou,1
que jogada de novo,0
voltou o áudio pessoal,0
travando feio mano,1
socorro Brasil campeão,0
a live caiu,1
o áudio tá na frente,1
sumiu o áudio pqp,1
resolveu,0
aqui tá normal pessoal,0
haha que isso,0
socorro olá a todos,0
som picotando,1
áudio duplicado??,1
FLA FLA FLA,0
show!!!,0
o áudio tá uns 3s adiantado pessoal,1
Palmeiras campeão ainda,0
não sei,0
sem som tbm,1
Timão!,0
👏👏 cara,0
cara áudio bugou,1
áudio travando 😤,1
cara o som tá atrasado,1
som caiu,1
seleção! 😭,0
qualidade péssima aqui tb,1
só vejo tela preta tbm,1
💪,0
que comentarista aqui também,0
fala galera gente,0
o áudio distorceu que isso,1
que chute...,0
áudio distorcido pra mim também,1
cara boa noite pessoal,0
legal pessoal,0
o narrador tá ótimo,0
pra mim tá bom,0
muito borrado kkk,1
vídeo pixelado absurdo,1
BRASIL aqui também,0
o áudio não tá sincronizado mano,1
to aqui to aqui,0
sei lá mano,0
já começou? cara,0
que situação de novo,0
dahora! ainda,0
o áudio voltou normal,0
audio sumiu pessoal,1
que juiz pqp,0
áudio cortando sempre isso,1
nada a ver de novo,0
nossa senhora gente,0
legal,0
top,0
a transmissão encerrou sozinha a transmissão encerrou sozinha,1
mano bora Brasil,0
massa 😭,0
não tem narrador que isso,1
a imagem congelou pqp,1
que cena kkk pessoal,0
🎉...,0
o vídeo travou 😭,1
a live voltou que isso,0
áudio foi horrível,1
o áudio sumiu pessoal,1
áudio estourado horrível,1
som duplicado som duplicado,1
cadê o áudio,1
mano salve!,0
alguém mais vídeo pixelado?,1
cadê o áudio aqui tb,1
gente tá sem som,1
alguém mais talvez?,0
o áudio fica cortando kkk,1
que isso de novo,0
que falha de novo,0
sumiu a narração,1
esse jogador não presta 😤,0
narrador caiu,1
socorro vai Brasil,0
desincronizado mano,1
não abre,1
sem som ainda,1
tá congelando,1
live caindo,1
resolução caiu aqui também,1
jogador ruim gente,0
a imagem congelou horrível,1
som distorcido tbm,1
voltou a live pqp,0
que animação do narrador,0
áudio voltou aqui tb,0
som distorcido,1
alguém mais já voltou?,0
qualidade ruim??,1
ué eco no som,1
to aqui pessoal,0
ficando sem áudio pessoal,1
já resolveu pra mim também,0
qualidade horrível kk,1
travando aqui cara,1
som chiando,1
nada a ver cara,0
vai seleção 😭,0
não tem som cara,1
gente loading eterno,1
alguém mais o som tá com eco?,1
ué qualidade horrível,1
cara frango do goleiro,0
Brasil campeão horrível,0
fica parando cara,1
socorro áudio ruim demais,1
audio sumiu ainda,1
alguém mais qualidade ruim?,1
não tá travando aqui 😤,0
kkkkkkkkkkk 😤,0
caiu pra mim de novo,1
desincronizado,1
recomecou do zero,1
transmissão caiu que isso,1
quem fez o gol? de novo,0
mano cheio de pixel,1
sla absurdo,0
não tem mais áudio pessoal,1
não tô ouvindo nada pqp,1
sem audio aqui,1
mano som estourado,1
gente voltou a live,0
ué fica no loading,1
ué 🤣🤣🤣,0
não entendi tbm,0
jogaco,0
dahora ainda,0
voltou do zero,1
que time,0
😂😂😂 pessoal,0
a tela ficou preta,1
todo mundo roubaram,0
dá erro aqui aqui também,1
ué top,0
caiu a live cara,1
travou de vez ainda,1
cara tá congelando,1
socorro tá sem áudio,1
não tem mais som ainda,1
tá carregando infinito,1
Brasil campeão,0
meu áudio sumiu,1
cadê o narrador gente,1
não tem mais áudio,1
voltou a transmissão...,0
fala galera,0
áudio fora de sincronia pra mim também,1
👏👏,0
meu Deus kkk,0
não reproduz,1
salve galera salve galera,0
cadê o narrador de novo,1
só eu som horrível?,1
tá sem som tbm,1
tá travando muito,1
⚽ mano,0
tá rodando,1
que jogada pra mim também,0
boa tarde galera kk,0
🎉🎉 pra mim também,0
bora bora bora,0
sem áudio pessoal,1
que pintura 😤,0
tela preta aqui,1
tá carregando infinito aqui também,1
travando pra caramba,1
voltou o áudio mano,0
resolução caiu,1
dá erro aqui aqui tb,1
ficou sem som,1
que gol!!!!,0
esse juiz é roubado 😤,0
sem audio pra mim também,1
huehuehue aqui tb,0
rsrs 😭,0
olá a todos aqui tb,0
gente haha,0
dá erro toda hora aqui também,1
que gol! absurdo,0
não tá travando aqui...,0
fica rodando kk,1
a live caiu 😭,1
to assistindo,0
aqui não tá travando,0
tá sem narrador 😭,1
isso foi fora né?...,0
😆😆,0
não foi pênalti não foi pênalti,0
a live não abre mano,1
GOOOOOOL...,0
ué audio sumiu,1
áudio ruim demais horrível,1
fora de sinc ainda,1
resolução tá horrível 😭,1
gente Porco!,0
eco no áudio 😤,1
o som tá cortando aqui também,1
bom dia??,0
ficou em baixa resolução??,1
o jogador foi bem absurdo,0
craque demais pessoal,0
áudio chiando de novo,1
😆😆 horrível,0
sem audio,1
arbitro ruim,0
que isso pessoal,0
👏👏👏 que isso,0
ué interessante,0
só eu cadê o áudio?,1
que drrible,0
voltou do zero kkk,1
vai vaaaai??,0
não tô ouvindo nada,1
mano perdeu o áudio,1
perdeu o som 😤,1
e daí? de novo,0
o carregamento não acaba??,1
o áudio tá uns 3s adiantado,1
recomeçou do zero??,1
assistindo aqui,0
não acredito,0
tô sem som!!!,1
kkk kkk,0
alguém mais a imagem parou?,1
o audio ta na frente,1
vai Grêmio,0
kkkkkkkkkkk pqp,0
o áudio não tá sincronizado,1
absurdo,0
ué o áudio voltou normal,0
FLA FLA FLA 😭,0
❤️,0
🔥 sempre isso,0
que isso,0
só eu tá sem narrador?,1
que animação do narrador!!!,0
que coisa pra mim também,0
salve! ainda,0
o áudio tá fora de sincronia pqp,1
fica rodando,1
seleção!,0
desfocado demais,1
tela preta do nada??,1
socorro caiu pra mim,1
aqui tá perfeito aqui tá perfeito,0
caiu aqui que isso,1
só eu voltou?,0
só eu a live reiniciou?,1
sem audio kk,1
todo mundo imagem pixelada,1
áudio adiantado,1
mano aqui tá suave,0
só vejo tela preta pqp,1
que cabeçada 😭,0
tá rodando cara,1
o que foi? kk,0
a live foi do ar,1
chegando aqui absurdo,0
perdeu o narrador,1
jogada linda sempre isso,0
caiu a live,1
live foi abaixo,1
juiz vendido,0
alguém mais ficou sem áudio?,1
alguém sabe o placar?,0
sem narrador,1
todo mundo melhor jogo do ano,0
borrado demais,1
dois sons ao mesmo tempo,1
confuso pqp,0
que situação kk,0
não tem mais som,1
todo mundo 10/10,0
só eu o narrador sumiu?,1
fica carregando de novo,1
não abre a live,1
que coisa??,0
caramba 😤,0
erro de reproducao,1
áudio dessincronizado pra mim também,1
árbitro ruim cara,0
dahora! sempre isso,0
áudio ruim demais kkk,1
tô sem som pra mim também,1
hauahauahau 😤,0
só fica carregando,1
10/10,0
voltou a transmissão aqui tb,0
alguém mais PLACAR ERRADO?,1
áudio com eco cara,1
todo mundo e aí pessoal,0
socorro qual é o canal?,0
mano depende,0
árbitro ruim,0
alguém mais meu áudio sumiu?,1
sem áudio aqui,1
não consegue carregar cara,1
mano tá carregando infinito,1
já resolveu,0
o jogador foi bem,0
não toca cara,1
o que houve? de novo,0
jogo ruim,0
eco enorme 😭,1
que coisa kkk,0
que erro,0
o áudio não tá sincronizado pqp,1
que jogador,0
imagem travada,1
aqui não tá travando que isso,0
que situação,0
fica congelando pra mim também,1
kkk que isso 😭,0
tá pixelado pqp,1
jogo bom,0
não abre pqp,1
🤣🤣🤣,0
não consegue carregar pqp,1
já começou? 😭,0
gente bora bora bora,0
não tem mais áudio kkk,1
qualidade baixou gente,1
quanto tá o placar?,0
tá tela preta,1
mano muito borrado,1
socorro qualidade péssima,1
socorro sei lá,0
vai Palmeiras,0
narrador animado kkk,0
🏆??,0
cheio de pixel,1
a transmissão caiu horrível,1
que horário é? mano,0
todo mundo quando começa?,0
melhorou,0
😍??,0
era pênalti absurdo,0
salve galera de novo,0
PLACAR ERRADO pra mim também,1
alguém mais ficou tela preta?,1
sem audio aqui kkk,1
❤️❤️ kkk,0
não foi falta sempre isso,0
vídeo na frente do áudio,1
ué som duplicado,1
tela preta pra mim pessoal,1
que coisa,0
alguém mais voltou?,0
quem fez o gol?!!!,0
áudio ruim demais,1
não tá travando aqui,0
resolução tá horrível de novo,1
erro de reprodução que isso,1
a transmissão caiu,1
não tô ouvindo nada??,1
tela preta horrível,1
frango!!!,0
árbitro favorecendo árbitro favorecendo,0
gente a tela ficou preta,1
jogo fraco aqui também,0
vai seleção 😤,0
o som sumiu...,1
a live encerrou do nada tbm,1
onde assistir? kkk,0
que jogada,0
o narrador tá atrasado,1
tá dando erro,1
vídeo parado,1
a live reiniciou de novo,1
Mengão! mano,0
ué morreu o áudio,1
alguém mais muito pixelado?,1
🙌,0
vídeo travando,1
qual é o canal? cara,0
tá congelado pqp,1
live caindo kk,1
a live reiniciou,1
saiu do ar,1
boa pqp,0
tela preta do nada de novo,1
reiniciou do zero pra mim também,1
som picotando pessoal,1
melhor jogo do ano,0
jogaço kkk,0
socorro que craque,0
alguém mais oi pessoal?,0
assistindo aqui horrível,0
ta com eco,1
o som tá estourado,1
alguém mais time fraco?,0
live foi abaixo sempre isso,1
mano massa,0
pixelando 😭,1
mano quanto tá o placar?,0
time bom pra mim também,0
narrador animado pessoal,0
hahahaha,0
o jogo é quando?,0
impossível pessoal,0
mano Tricolor!,0
que loucura tbm,0
jogo ruim tbm,0
narrador caiu tbm,1
eco no áudio,1
incrível 😤,0
quanto tá o placar?...,0
resolveu o som,0
que partida 😭,0
huehuehue huehuehue,0
melhor gol do ano,0
quem fez o gol?,0
que narrador bom pqp,0
ué pixelou,1
quando volta?,0
cara som adiantado,1
o áudio tá uns 3s adiantado que isso,1
sensacional sempre isso,0
que juiz??,0
que time hein cara,0
pode ser,0
áudio com eco,1
mano vai Corinthians,0
bora bora bora pqp,0
GOOOOOOL sempre isso,0
gente o áudio tá com eco,1
qual é o resultado? sempre isso,0
boca e voz não tão sincronizados ainda,1
qualidade do áudio péssima pra mim também,1
qualidade péssima pessoal,1
tá travando aqui também,1
qualidade do áudio péssima??,1
que golaço,0
🔥 kkk,0
cara era pênalti,0
cara resolução caiu,1
o audio ta uns 3s adiantado,1
cara num sei,0
só fica carregando que isso,1
socorro pra mim tá perfeito,0
só eu que golaço?,0
voltou do zero aqui tb,1
🔥...,0
imagem borrada gente,1
absurdo...,0
travando feio kk,1
vai Internacional,0
alguém mais não sei?,0
o narrador sumiu tbm,1
vai Athletico??,0
caiu aqui,1
socorro sem narração,1
alguém mais áudio chiando?,1
tô sem áudio,1
gente para toda hora,1
ficou sem narração aqui tb,1
tá tela preta ainda,1
sem áudio 😭,1
🔥🔥,0
todo mundo não toca,1
hauhauha aqui também,0
tá sem narrador,1
som caiu tbm,1
seleção! que isso,0
PLACAR ERRADO pqp,1
comentarista bom absurdo,0
o narrador tá atrasado kk,1
erro ao carregar,1
a transmissão ficou tela preta pqp,1
melhorou pessoal,0
não reproduz!!!,1
que craque!!!,0
confuso horrível,0
vídeo na frente do áudio gente,1
que gol!,0
travou pessoal,1
voltou a transmissao,0
dahora dahora,0
que erro gente,0
e aí? aqui também,0
som horrível gente,1
sem audio aqui que isso,1
que horas começa? 😤,0
agora voltou o som 😭,0
vai Brasil ainda,0
rsrsrs kkk,0
vai Santos gente,0
áudio interrompendo,1
nossa kk,0
cara vai Flamengo!,0
já começou? tbm,0
que time hein sempre isso,0
não tem narrador,1
rsrsrsrs kkk,0
fica no loading kk,1
mano tá em baixíssima qualidade,1
tá rodando!!!,1
o som tá com eco,1
qualidade do áudio péssima,1
mano roubaram demais,0
e então? pqp,0
cheio de pixel sempre isso,1
o áudio tá chiando,1
que isso cara,0
gente perdeu o som,1
loading eterno aqui também,1
som atrasado,1
uau,0
gente 💪,0
só eu voltou do zero?,1
aqui tá funcionando,0
aqui tá suave...,0
🎉,0
cara Mengão!,0
vai vaaaai 😤,0
aqui tá suave??,0
a tela ficou preta sempre isso,1
travando aqui kkk,1
top aqui tb,0
gente cadê o som,1
o áudio tá chiando mano,1
Brasil campeão...,0
gente aqui tá funcionando,0
a transmissão encerrou sozinha pessoal,1
10 kkk,0
som adiantado aqui também,1
não sai do buffer ainda,1
mano pode ser,0
som estourado aqui tb,1
o áudio fica cortando,1
a transmissão voltou,0
tá bom agora tá bom agora,0
ficou sem áudio,1
goleiro ruim absurdo,0
alguém mais ficou com erro?,1
mano,0
que cabeçada absurdo,0
o narrador tá ótimo o narrador tá ótimo,0
bora Brasil que isso,0
não foi falta,0
cara o áudio tá cortando,1
que horário é?,0
não abre a live ainda,1
juiz vendido pra mim também,0
ué o vídeo travou,1
travando demais mano,1
maneiro,0
áudio com eco kk,1
aqui chegando,0
aqui tá ok!!!,0
resolveu aqui tb,0
que juiz 😤,0
cara kkk,0
o narrador foi ainda,1
todo mundo 😂😂,0
áudio caiu horrível,1
vai Flamengo! vai Flamengo!,0
e aí?,0
olha o goleiro kk,0
cara tá sem narração,1
o jogador foi bem aqui tb,0
som horrível,1
caiu pra mim 😤,1
pra mim tá bom de novo,0
jogada linda mano,0
ué 👍👍,0
resolução tá horrível,1
😍😍 de novo,0
😍😍 kkk,0
impossível!!!,0
imagem pixelada 😭,1
🙌 🙌,0
que jogo chato 😤,0
socorro áudio na frente do vídeo,1
borrado demais!!!,1
socorro maneiro,0
ta sem narracao,1
😍 absurdo,0
que animação do narrador 😤,0
cara dois sons ao mesmo tempo,1
a live voltou kk,0
buffering infinito 😭,1
kk ainda,0
buffering aqui também,1
roubaram,0
bufferizando sempre isso,1
tá bom agora,0
o jogo é quando? sempre isso,0
qualidade péssima,1
o meu tá normal sempre isso,0
quando volta?...,0
socorro rsrs,0
o narrador sumiu,1
agora voltou o som,0
🏆 🏆,0
congelou horrível,1
o vídeo travou absurdo,1
gente live caiu,1
que horas começa?...,0
alguém mais incrível?,0
resolução baixou absurdo,1
dá erro toda hora??,1
fica parando ainda,1
kkkkk horrível,0
som adiantado horrível,1
alguém mais tô sem áudio?,1
olá a todos,0
não acredito que isso,0
gente 👏👏👏,0
qualidade caiu qualidade caiu,1
ficou congelado ficou congelado,1
áudio com eco 😤,1
que time hein,0
alguém mais boa?,0
